partid,child_edu_index,assigned,age,age_2,age_3,male,urban,risk_aversion,ind_found_b,education,literate,voc_training,numeracy_numcorrect_m,adl,wealthindex,savings_6mo_p99,cash4w_p99,loan_100k,loan_1mil,lowskill7da_zero,lowbus7da_zero,skilledtrade7da_zero,highskill7da_zero,acto7da_zero,aghours7da_zero,chores7da_zero,zero_hours,nonag_dummy,emplvoc,inschool,admin_cost_us,groupsize_est_e,grantsize_pp_US_est3,group_existed,group_age,ingroup_hetero,ingroup_dynamic,grp_leader,grp_chair,avgdisteduc,D_1,D_2,D_3,D_4,D_5,D_6,D_7,D_8,D_9,D_10,D_11,D_12,D_13
1003,-.1651159,1,-.086286,.007445,-.0006424327,1,0,.1650642,1,-.108378,0,0,-.2630302,-.144853,-.8571107,-.1100908,.9245789,0,0,-.0967723,-.1736387,-.1026754,-.0593133,-.0900536,-.2657273,-.2531508,1,0,0,0,-.3678103,.5720087,-.5192382,1,.505143,.1882709,.2720212,0,0,-.4750589,1,0,0,0,0,0,0,0,0,0,0,0,0
1004,-1.275762,1,-.650602,.423283,-.2753888718,1,0,-.3560833,1,.23083,1,0,.2515013,-.144853,-.0068095,.0972731,-.2566913,1,0,-.0967723,-.1736387,-.1026754,-.0593133,-.0900536,-.2657273,-.2531508,1,0,0,0,-.3678103,.5720087,-.5192382,1,.505143,.1882709,.2720212,0,0,-.4750589,1,0,0,0,0,0,0,0,0,0,0,0,0
1004,-.8049137,1,-.650602,.423283,-.2753888718,1,0,-.3560833,1,.23083,1,0,.2515013,-.144853,-.0068095,.0972731,-.2566913,1,0,-.0967723,-.1736387,-.1026754,-.0593133,-.0900536,-.2657273,-.2531508,1,0,0,0,-.3678103,.5720087,-.5192382,1,.505143,.1882709,.2720212,0,0,-.4750589,1,0,0,0,0,0,0,0,0,0,0,0,0
1004,-.6064638,1,-.650602,.423283,-.2753888718,1,0,-.3560833,1,.23083,1,0,.2515013,-.144853,-.0068095,.0972731,-.2566913,1,0,-.0967723,-.1736387,-.1026754,-.0593133,-.0900536,-.2657273,-.2531508,1,0,0,0,-.3678103,.5720087,-.5192382,1,.505143,.1882709,.2720212,0,0,-.4750589,1,0,0,0,0,0,0,0,0,0,0,0,0
1011,1.242971,1,-.744655,.554511,-.4129189661,1,0,.4485681,1,.061226,0,0,-.7775617,-.144853,-.248916,-.1100908,-.2566913,0,0,-.0967723,-.1736387,-.1026754,-.0593133,-.0900536,-.2657273,.1622926,1,0,0,0,-.3678103,.5720087,-.5192382,1,.505143,.1882709,.2720212,0,0,-.4750589,1,0,0,0,0,0,0,0,0,0,0,0,0
1011,.9068673,1,-.744655,.554511,-.4129189661,1,0,.4485681,1,.061226,0,0,-.7775617,-.144853,-.248916,-.1100908,-.2566913,0,0,-.0967723,-.1736387,-.1026754,-.0593133,-.0900536,-.2657273,.1622926,1,0,0,0,-.3678103,.5720087,-.5192382,1,.505143,.1882709,.2720212,0,0,-.4750589,1,0,0,0,0,0,0,0,0,0,0,0,0
1015,-.2352672,1,-.744655,.554511,-.4129189661,1,0,.4485681,1,-.277981,1,0,-.0057645,-.144853,-.4539997,-.1100908,-.0401251,1,0,-.0967723,1.266441,-.1026754,-.0593133,-.0900536,-.2657273,-.2531508,0,1,0,0,-.3678103,.5720087,-.5192382,1,.505143,.1882709,.2720212,0,0,-.4750589,1,0,0,0,0,0,0,0,0,0,0,0,0
2001,-.6064638,1,.007766,.00006,4.68404e-07,1,1,-.099145,1,-.617189,0,0,-.6489289,-.144853,.2496548,-.1100908,1.318336,0,0,-.0967723,-.1736387,2.997991,-.0593133,-.0900536,-.2657273,-.2531508,0,1,1,0,-.3678103,.788212,-.5720323,0,-.21592,.0501889,-.4409326,1,0,-.5061201,1,0,0,0,0,0,0,0,0,0,0,0,0
2001,.3708757,1,.007766,.00006,4.68404e-07,1,1,-.099145,1,-.617189,0,0,-.6489289,-.144853,.2496548,-.1100908,1.318336,0,0,-.0967723,-.1736387,2.997991,-.0593133,-.0900536,-.2657273,-.2531508,0,1,1,0,-.3678103,.788212,-.5720323,0,-.21592,.0501889,-.4409326,1,0,-.5061201,1,0,0,0,0,0,0,0,0,0,0,0,0
2001,.204214,1,.007766,.00006,4.68404e-07,1,1,-.099145,1,-.617189,0,0,-.6489289,-.144853,.2496548,-.1100908,1.318336,0,0,-.0967723,-.1736387,2.997991,-.0593133,-.0900536,-.2657273,-.2531508,0,1,1,0,-.3678103,.788212,-.5720323,0,-.21592,.0501889,-.4409326,1,0,-.5061201,1,0,0,0,0,0,0,0,0,0,0,0,0
2005,.607631,1,-.650602,.423283,-.2753888718,1,1,.1916298,1,.570037,1,0,-.7775617,-.144853,.402849,-.1100908,-.2566913,0,0,-.0967723,-.1736387,-.1026754,-.0593133,-.0900536,-.2657273,-.2531508,1,0,0,0,-.3678103,.788212,-.5720323,0,-.21592,.0501889,-.4409326,0,0,-.5061201,1,0,0,0,0,0,0,0,0,0,0,0,0
2005,.6150785,1,-.650602,.423283,-.2753888718,1,1,.1916298,1,.570037,1,0,-.7775617,-.144853,.402849,-.1100908,-.2566913,0,0,-.0967723,-.1736387,-.1026754,-.0593133,-.0900536,-.2657273,-.2531508,1,0,0,0,-.3678103,.788212,-.5720323,0,-.21592,.0501889,-.4409326,0,0,-.5061201,1,0,0,0,0,0,0,0,0,0,0,0,0
